תאריך,שעה,סוג,בסיס,פקיעה,פתיחה%,נעילה,יומי%,מחזור,עסקאות,נקודות,אחוז
10.3.2026,9:59:29,W,"4,227.02","4,251.10",0.57%,"4,187.97",0.92%,193.9,"3,677",28.98,0.68%
9.3.2026,10:06:56,W,"4,356.68","4,280.08",1.76%,"4,227.02",2.98%,249,"5,379",89.01,2.04%
6.3.2026,9:59:23,W,"4,355.91","4,369.09",0.30%,"4,356.68",0.02%,148.7,"2,505",73.82,1.72%
5.3.2026,9:59:18,W,"4,309.68","4,295.27",0.33%,"4,355.91",1.07%,147.1,"2,827",7.11,0.17%
4.3.2026,9:59:20,W,"4,318.50","4,288.16",0.70%,"4,309.68",0.20%,188.6,"3,983",54.48,1.29%
2.3.2026,10:05:50,W,"4,128.36","4,233.68",2.55%,"4,318.50",4.61%,246.9,"5,204",138.27,3.38%
27.2.2026,9:59:48,W,"4,101.60","4,095.41",0.15%,"4,128.36",0.65%,134.6,"2,445",100.45,2.39%
25.2.2026,9:59:51,W,"4,169.00","4,195.86",0.64%,"4,162.90",0.15%,152,"2,657",32.79,0.78%
23.2.2026,9:59:15,W,"4,232.11","4,228.65",0.08%,"4,243.47",0.27%,72.5,"2,481",10.88,0.26%
20.2.2026,9:59:39,M,"4,210.39","4,217.77",0.18%,"4,232.11",0.52%,"2,134.00","3,587",8.78,0.21%
18.2.2026,9:59:28,W,"4,196.30","4,208.99",0.30%,"4,232.65",0.87%,202.6,"2,757",13.42,0.32%
16.2.2026,9:59:06,W,"4,170.22","4,195.57",0.61%,"4,185.75",0.37%,130,"2,753",19.83,0.47%
13.2.2026,9:59:24,W,"4,190.56","4,175.74",0.35%,"4,170.22",0.49%,170,"2,846",7.34,0.18%
11.2.2026,9:59:08,W,"4,193.47","4,183.08",0.25%,"4,160.40",0.79%,198.2,"2,598",78.8,1.92%
9.2.2026,9:59:05,W,"4,051.87","4,104.28",1.29%,"4,119.77",1.68%,57.3,"2,573",58.03,1.43%
6.2.2026,9:59:41,W,"4,039.01","4,046.25",0.18%,"4,051.87",0.32%,176.5,"3,740",100.03,2.41%
4.2.2026,9:59:24,W,"4,119.81","4,146.28",0.64%,"4,120.51",0.02%,199.2,"2,648",174.18,4.39%
2.2.2026,10:06:00,W,"4,003.67","3,972.10",0.79%,"4,049.32",1.14%,134.1,"4,360",1.89,0.05%
30.1.2026,9:59:39,W,"3,978.87","3,973.99",0.12%,"4,003.67",0.62%,262.8,"3,010",60.49,1.50%
28.1.2026,9:59:09,W,"4,009.36","4,034.48",0.63%,"3,980.54",0.72%,127,"2,566",33.31,0.83%
26.1.2026,9:59:47,W,"3,986.63","4,001.17",0.36%,"4,005.65",0.48%,125,"2,985",37.94,0.96%
23.1.2026,9:59:58,M,"3,973.26","3,963.23",0.25%,"3,986.63",0.34%,"2,358.80","3,783",4.8,0.12%
21.1.2026,9:59:41,W,"3,948.41","3,958.43",0.25%,"3,932.19",0.41%,114.8,"2,202",20.77,0.53%
19.1.2026,9:59:36,W,"3,971.91","3,937.66",0.86%,"3,968.81",0.08%,119.7,"3,607",28.01,0.71%
16.1.2026,9:59:28,W,"3,963.43","3,965.67",0.06%,"3,971.91",0.21%,168,"2,517",88.34,2.28%
14.1.2026,9:59:06,W,"3,866.86","3,877.33",0.27%,"3,928.48",1.59%,100.8,"2,232",31.55,0.82%
12.1.2026,9:59:26,W,"3,857.77","3,845.78",0.31%,"3,884.13",0.68%,97.1,"2,901",11.46,0.30%
9.1.2026,9:59:20,W,"3,830.54","3,834.32",0.10%,"3,857.77",0.71%,106.1,"1,886",14.27,0.37%
7.1.2026,9:59:41,W,"3,845.39","3,848.59",0.08%,"3,845.78",0.01%,326.4,"2,432",93.54,2.49%
5.1.2026,10:07:20,W,"3,695.29","3,755.05",1.62%,"3,738.33",1.16%,91.6,"3,333",159.36,4.43%
1.1.2026,9:59:04,W,"3,631.55","3,595.69",0.99%,"3,695.29",1.76%,101.7,"2,003",33.29,0.92%
30.12.2025,9:59:29,W,"3,627.18","3,628.98",0.05%,"3,661.17",0.94%,117.8,"1,914",52.8,1.48%
28.12.2025,9:59:07,W,"3,603.38","3,576.18",0.75%,"3,618.80",0.43%,99.5,"2,212",129.5,3.49%
25.12.2025,9:59:45,M,"3,719.65","3,705.68",0.38%,"3,603.38",3.13%,"1,001.40","3,978",0.14,0.00%
23.12.2025,9:59:28,W,"3,708.78","3,705.82",0.08%,"3,711.25",0.07%,104.1,"2,544",35.04,0.95%
21.12.2025,9:59:07,W,"3,661.68","3,670.78",0.25%,"3,681.73",0.55%,73.5,"2,149",33.46,0.92%
18.12.2025,9:59:21,W,"3,635.08","3,637.32",0.06%,"3,661.68",0.73%,95,"2,319",62.45,1.75%
16.12.2025,10:06:04,W,"3,595.63","3,574.87",0.58%,"3,607.33",0.33%,93.2,"3,030",43.1,1.19%
14.12.2025,9:59:25,W,"3,631.85","3,617.97",0.38%,"3,614.20",0.49%,108.4,"2,631",22.11,0.61%
11.12.2025,9:59:37,W,"3,604.65","3,595.86",0.24%,"3,631.85",0.75%,111.1,"2,634",45.5,1.28%
9.12.2025,9:59:14,W,"3,548.50","3,550.36",0.05%,"3,569.04",0.58%,101.7,"1,980",40.69,1.16%
7.12.2025,9:59:30,W,"3,506.55","3,509.67",0.09%,"3,540.51",0.97%,123.2,"2,074",6.85,0.20%
4.12.2025,9:59:56,W,"3,467.16","3,502.82",1.03%,"3,506.55",1.14%,153.1,"2,183",62.79,1.83%
2.12.2025,9:59:24,W,"3,429.69","3,440.03",0.30%,"3,495.10",1.91%,99.7,"2,392",25.12,0.74%
30.11.2025,9:59:41,W,"3,390.77","3,414.91",0.71%,"3,425.82",1.03%,54.2,"1,547",38.99,1.15%
27.11.2025,10:02:59,M,"3,374.30","3,375.92",0.05%,"3,390.77",0.49%,875.2,"3,075",2.05,0.06%
25.11.2025,9:59:30,W,"3,371.41","3,377.97",0.19%,"3,344.86",0.79%,90.7,"1,720",47.89,1.44%
23.11.2025,10:06:16,W,"3,359.36","3,330.08",0.87%,"3,320.72",1.15%,83.1,"2,614",85.09,2.49%
20.11.2025,9:59:19,W,"3,395.10","3,415.17",0.59%,"3,359.36",1.05%,214.8,"2,919",1.46,0.04%
18.11.2025,10:06:16,W,"3,451.39","3,413.71",1.09%,"3,385.71",1.90%,161.9,"4,132",0.05,0.00%
16.11.2025,9:59:00,W,"3,434.29","3,413.76",0.60%,"3,447.17",0.38%,97.4,"2,033",22.21,0.65%
13.11.2025,9:59:39,W,"3,434.03","3,435.97",0.06%,"3,434.29",0.01%,208.2,"2,254",60.36,1.79%
11.11.2025,9:59:14,W,"3,372.40","3,375.61",0.10%,"3,389.21",0.50%,80.5,"2,066",39.06,1.17%
9.11.2025,9:59:01,W,"3,335.93","3,336.55",0.02%,"3,334.88",0.03%,72.1,"2,325",40.22,1.19%
6.11.2025,9:59:23,W,"3,350.98","3,376.77",0.77%,"3,335.93",0.45%,151.8,"3,343",67.6,2.04%
4.11.2025,9:59:35,W,"3,320.54","3,309.17",0.34%,"3,317.09",0.10%,196.3,"3,214",22.82,0.69%
2.11.2025,9:59:48,W,"3,273.43","3,286.35",0.39%,"3,288.20",0.45%,131.4,"2,199",37.57,1.16%
30.10.2025,9:59:13,M,"3,260.11","3,248.78",0.35%,"3,273.43",0.41%,"2,011.20","4,230",20.32,0.63%
28.10.2025,9:59:25,W,"3,236.46","3,228.46",0.25%,"3,206.35",0.93%,82.9,"2,014",4.69,0.15%
26.10.2025,9:59:31,W,"3,199.10","3,233.15",1.06%,"3,231.51",1.01%,75,"1,913",74.48,2.36%
23.10.2025,9:59:00,W,"3,178.97","3,158.67",0.64%,"3,199.10",0.63%,108.7,"2,072",53.95,1.68%
21.10.2025,9:59:17,W,"3,208.01","3,212.62",0.14%,"3,176.41",0.99%,90.2,"1,867",15.42,0.48%
19.10.2025,10:02:16,W,"3,210.91","3,197.20",0.43%,"3,174.18",1.14%,148.1,"2,356",35.45,1.10%
16.10.2025,9:59:27,W,"3,248.99","3,232.65",0.50%,"3,210.91",1.17%,69,"2,597",15.51,0.48%
12.10.2025,9:59:33,W,"3,276.85","3,217.14",1.82%,"3,232.40",1.36%,95.6,"3,063",20.77,0.64%
9.10.2025,9:59:19,W,"3,203.55","3,237.91",1.07%,"3,276.85",2.29%,139.8,"3,467",36.45,1.11%
5.10.2025,10:06:41,W,"3,199.82","3,274.36",2.33%,"3,210.22",0.33%,189.9,"3,916",134.29,4.28%
30.9.2025,9:59:18,W,"3,113.62","3,140.07",0.85%,"3,199.82",2.77%,309,"4,256",61.51,2.00%
28.9.2025,9:59:32,W,"3,034.83","3,078.56",1.44%,"3,116.75",2.70%,162.4,"2,676",48.79,1.61%
25.9.2025,10:05:56,M,"2,982.63","3,029.77",1.58%,"3,034.83",1.75%,977.3,"5,760",10.78,0.35%
21.9.2025,9:59:03,W,"3,030.36","3,040.55",0.34%,"2,982.63",1.58%,71.6,"1,794",40.69,1.36%
18.9.2025,9:59:51,W,"2,996.85","2,999.86",0.10%,"3,030.36",1.12%,108.3,"2,239",82.72,2.68%
9.9.2025,9:59:40,W,"3,079.29","3,082.58",0.11%,"3,133.78",1.77%,138.8,"2,056",3.78,0.12%
7.9.2025,9:59:26,W,"3,047.19","3,078.80",1.04%,"3,083.41",1.19%,71.4,"1,980",53.4,1.77%
4.9.2025,9:59:10,W,"3,019.45","3,025.40",0.20%,"3,047.19",0.92%,92,"2,394",15.27,0.50%
2.9.2025,9:59:07,W,"3,038.65","3,040.67",0.07%,"2,997.30",1.36%,51.8,"1,792",24.97,0.81%
31.8.2025,9:59:32,W,"3,071.96","3,065.64",0.21%,"3,054.75",0.56%,142.4,"2,420",18.23,0.59%
28.8.2025,9:59:05,M,"3,074.30","3,083.87",0.31%,"3,071.96",0.08%,"2,219.70","4,141",39.16,1.29%
26.8.2025,9:59:12,W,"3,048.08","3,044.71",0.11%,"3,066.34",0.60%,99.1,"2,459",10.34,0.34%
24.8.2025,9:59:30,W,"2,998.57","3,034.37",1.19%,"3,038.79",1.34%,108.3,"2,283",56.44,1.90%
21.8.2025,9:59:52,W,"2,975.39","2,977.93",0.09%,"2,998.57",0.78%,52.7,"2,050",23.9,0.80%
19.8.2025,9:59:25,W,"2,986.60","3,001.83",0.51%,"3,003.79",0.58%,57.1,"1,736",33.88,1.14%
17.8.2025,9:59:46,W,"2,967.07","2,967.95",0.03%,"2,989.73",0.76%,95.2,"2,301",16.84,0.57%
14.8.2025,9:59:26,W,"2,949.44","2,951.11",0.06%,"2,967.07",0.60%,103.6,"2,170",10.43,0.35%
12.8.2025,9:59:44,W,"2,946.49","2,940.68",0.20%,"2,898.78",1.62%,142.4,"2,487",6.19,0.21%
10.8.2025,9:59:48,W,"2,930.04","2,934.49",0.15%,"2,971.69",1.42%,79.5,"1,758",2.19,0.07%
7.8.2025,9:59:54,W,"2,926.99","2,932.30",0.18%,"2,930.04",0.10%,254.3,"3,021",57.45,1.92%
5.8.2025,9:59:18,W,"2,990.24","2,989.75",0.02%,"2,945.40",1.50%,103.8,"2,710",43,1.42%
31.7.2025,9:59:13,W,"3,024.71","3,032.75",0.27%,"3,009.94",0.49%,77.3,"1,941",5.02,0.17%
29.7.2025,9:59:02,W,"3,035.24","3,027.73",0.25%,"3,037.04",0.06%,110.2,"2,006",6.15,0.20%
27.7.2025,9:59:16,W,"3,035.93","3,033.88",0.07%,"3,010.64",0.83%,210.7,"1,926",3.08,0.10%
24.7.2025,9:59:24,M,"3,071.45","3,030.80",1.32%,"3,035.93",1.16%,"2,917.30","5,994",0.11,0.00%
22.7.2025,9:59:57,W,"3,037.08","3,030.69",0.21%,"3,038.25",0.04%,129.7,"1,981",8.81,0.29%
20.7.2025,9:59:57,W,"3,007.22","3,021.88",0.49%,"3,003.13",0.14%,77.4,"1,754",20.56,0.69%
17.7.2025,9:59:55,W,"2,986.29","3,001.32",0.50%,"3,007.22",0.70%,144.1,"2,518",25.39,0.85%
15.7.2025,9:59:39,W,"2,984.60","2,975.93",0.29%,"2,997.12",0.42%,181.6,"2,586",37.63,1.25%
13.7.2025,9:59:32,W,"3,056.80","3,013.56",1.41%,"2,985.53",2.33%,131.7,"2,362",43.65,1.43%
10.7.2025,9:59:26,W,"3,064.30","3,057.21",0.23%,"3,056.80",0.24%,222.3,"2,693",41.06,1.36%
8.7.2025,9:59:50,W,"3,028.22","3,016.15",0.40%,"3,016.50",0.39%,213.8,"3,245",39.16,1.28%
6.7.2025,9:59:00,W,"3,033.71","3,055.31",0.71%,"3,041.27",0.25%,112.6,"1,858",30.37,1.00%
3.7.2025,9:59:00,W,"3,003.02","3,024.94",0.73%,"3,033.71",1.02%,198.4,"2,077",67.3,2.28%
1.7.2025,9:59:25,W,"2,958.70","2,957.64",0.04%,"2,946.90",0.40%,79.6,"1,620",37.48,1.28%
29.6.2025,9:59:45,W,"2,904.71","2,920.16",0.53%,"2,948.24",1.50%,142.3,"1,920",19.24,0.66%
26.6.2025,9:59:05,M,"2,928.35","2,900.92",0.94%,"2,904.71",0.81%,"1,614.90","3,676",32.57,1.14%
24.6.2025,9:59:40,W,"2,840.76","2,868.35",0.97%,"2,876.50",1.26%,168.4,"4,202",8.27,0.29%
22.6.2025,9:59:55,W,"2,834.31","2,860.08",0.91%,"2,877.78",1.53%,109,"2,922",68.55,2.46%
19.6.2025,9:59:44,W,"2,805.28","2,791.53",0.49%,"2,834.31",1.03%,160.7,"2,550",28.1,1.02%
17.6.2025,9:59:17,W,"2,756.16","2,763.43",0.26%,"2,768.73",0.46%,115.9,"2,197",104.35,3.92%
15.6.2025,9:59:27,W,"2,694.04","2,659.08",1.30%,"2,706.80",0.47%,88.7,"2,034",33.89,1.26%
12.6.2025,9:59:11,W,"2,736.77","2,692.97",1.60%,"2,694.04",1.56%,104.3,"3,013",33.53,1.23%
10.6.2025,10:02:57,W,"2,729.64","2,726.50",0.12%,"2,731.80",0.08%,100.4,"1,955",24,0.87%
8.6.2025,9:59:50,W,"2,734.90","2,750.50",0.57%,"2,735.73",0.03%,78,"1,934",32.41,1.19%
5.6.2025,9:59:01,W,"2,703.21","2,718.09",0.55%,"2,734.90",1.17%,124.9,"2,180",7.53,0.28%
3.6.2025,9:59:47,W,"2,701.68","2,710.56",0.33%,"2,710.81",0.34%,373.4,"3,831",25.22,0.92%
29.5.2025,9:59:32,M,"2,678.40","2,735.78",2.14%,"2,701.68",0.87%,"1,764.80","4,909",93.25,3.53%
27.5.2025,9:59:31,W,"2,649.75","2,642.53",0.27%,"2,664.17",0.54%,93.5,"2,094",67.13,2.61%
25.5.2025,9:59:32,W,"2,593.86","2,575.40",0.71%,"2,601.97",0.31%,59.1,"1,955",35.15,1.35%
22.5.2025,9:59:07,W,"2,626.73","2,610.55",0.62%,"2,593.86",1.25%,86.4,"1,906",33.62,1.27%
20.5.2025,9:59:11,W,"2,648.57","2,644.17",0.17%,"2,643.15",0.20%,60.5,"1,714",4.2,0.16%
18.5.2025,9:59:10,W,"2,629.53","2,639.97",0.40%,"2,654.43",0.95%,98.9,"1,359",19.61,0.75%
15.5.2025,9:59:17,W,"2,639.28","2,620.36",0.72%,"2,629.53",0.37%,152,"2,864",0.12,0.00%
13.5.2025,9:59:47,W,"2,636.46","2,620.48",0.61%,"2,630.96",0.21%,120.5,"2,784",6.14,0.23%
11.5.2025,9:59:47,W,"2,636.16","2,626.62",0.36%,"2,636.04",0.00%,126.6,"2,111",11.91,0.45%
8.5.2025,9:59:06,W,"2,609.36","2,638.53",1.12%,"2,636.16",1.03%,187.6,"2,215",90.71,3.56%
6.5.2025,9:59:21,W,"2,548.74","2,547.82",0.04%,"2,569.15",0.80%,294.3,"2,023",8.93,0.35%
4.5.2025,9:59:56,W,"2,517.98","2,538.89",0.83%,"2,520.22",0.09%,112.3,"2,172",31.46,1.25%
29.4.2025,9:59:53,W,"2,506.10","2,507.43",0.05%,"2,517.98",0.47%,123.3,"1,958",15.19,0.60%
27.4.2025,9:59:35,W,"2,506.94","2,522.62",0.63%,"2,511.42",0.18%,101.1,"1,942",18.01,0.72%
24.4.2025,10:09:58,M,"2,505.94","2,504.61",0.05%,"2,506.94",0.04%,539.6,"3,311",40.09,1.63%
22.4.2025,9:59:44,W,"2,461.08","2,464.52",0.14%,"2,468.06",0.28%,63.1,"2,299",39.15,1.56%
20.4.2025,9:59:12,W,"2,490.51","2,503.67",0.53%,"2,491.79",0.05%,34.2,"1,519",7.23,0.29%
17.4.2025,9:59:42,W,"2,495.79","2,496.44",0.03%,"2,490.51",0.21%,86.5,"2,648",25.82,1.05%
15.4.2025,9:59:08,W,"2,470.15","2,470.62",0.02%,"2,481.20",0.45%,97.4,"2,101",21.14,0.86%
10.4.2025,10:06:17,W,"2,371.74","2,449.48",3.28%,"2,417.67",1.94%,141,"3,102",60.55,2.53%
8.4.2025,9:59:29,W,"2,372.99","2,388.93",0.67%,"2,407.62",1.46%,298.9,"2,397",31.32,1.33%
6.4.2025,10:05:55,W,"2,448.47","2,357.61",3.71%,"2,352.30",3.93%,188.5,"3,811",73.69,3.03%
3.4.2025,9:59:22,W,"2,463.69","2,431.30",1.31%,"2,448.47",0.62%,164.1,"3,181",5.44,0.22%
1.4.2025,9:59:24,W,"2,418.23","2,436.74",0.77%,"2,426.55",0.34%,112.5,"2,088",6.04,0.25%
30.3.2025,9:59:29,W,"2,461.34","2,430.70",1.24%,"2,427.57",1.37%,99.8,"1,893",2.62,0.11%
27.3.2025,9:59:36,M,"2,439.62","2,428.08",0.47%,"2,461.34",0.89%,"1,972.70","3,886",33.93,1.38%
25.3.2025,9:59:45,W,"2,466.50","2,462.01",0.18%,"2,470.08",0.15%,150.8,"2,170",21.19,0.85%
23.3.2025,9:59:47,W,"2,501.73","2,483.20",0.74%,"2,420.33",3.25%,147.5,"2,908",28,1.12%
20.3.2025,9:59:38,W,"2,504.63","2,511.20",0.26%,"2,501.73",0.12%,141.3,"2,526",17.35,0.69%
18.3.2025,9:59:08,W,"2,530.37","2,528.55",0.07%,"2,517.45",0.51%,277.8,"2,513",1.4,0.06%
16.3.2025,9:59:41,W,"2,510.92","2,529.95",0.76%,"2,529.73",0.75%,188.7,"1,752",28.27,1.13%
13.3.2025,9:59:13,W,"2,493.35","2,501.68",0.33%,"2,510.92",0.70%,269.4,"2,668",34.52,1.40%
11.3.2025,9:59:00,W,"2,477.59","2,467.16",0.42%,"2,462.24",0.62%,127,"2,449",23.31,0.94%
9.3.2025,9:59:01,W,"2,467.04","2,490.47",0.95%,"2,493.87",1.09%,125.8,"1,614",13.27,0.54%
6.3.2025,9:59:20,W,"2,479.64","2,477.20",0.10%,"2,467.04",0.51%,137.2,"2,175",2.79,0.11%
4.3.2025,9:59:04,W,"2,497.50","2,479.99",0.70%,"2,451.69",1.83%,284.7,"2,461",23.56,0.96%
2.3.2025,9:59:54,W,"2,469.61","2,456.43",0.53%,"2,456.33",0.54%,76.6,"1,979",21.6,0.87%
27.2.2025,9:59:45,M,"2,471.97","2,478.03",0.25%,"2,469.61",0.10%,"2,010.70","3,632",16.62,0.68%
25.2.2025,9:59:10,W,"2,463.64","2,461.41",0.09%,"2,460.91",0.11%,53.8,"1,501",39.43,1.58%
23.2.2025,9:59:10,W,"2,514.57","2,500.84",0.55%,"2,483.98",1.22%,137.2,"2,430",26.02,1.03%
20.2.2025,9:59:06,W,"2,528.01","2,526.86",0.05%,"2,514.57",0.53%,103.4,"2,345",27.81,1.11%
18.2.2025,9:59:09,W,"2,492.42","2,499.05",0.27%,"2,534.02",1.67%,81,"1,557",6.4,0.26%
16.2.2025,9:59:11,W,"2,499.31","2,492.65",0.27%,"2,501.21",0.08%,74.5,"1,570",41.44,1.69%
13.2.2025,9:59:18,W,"2,455.10","2,451.21",0.16%,"2,499.31",1.80%,67.1,"2,129",51.32,2.05%
11.2.2025,9:59:42,W,"2,515.48","2,502.53",0.51%,"2,490.90",0.98%,57.7,"1,835",14.93,0.60%
9.2.2025,10:05:57,W,"2,508.15","2,487.60",0.82%,"2,491.34",0.67%,54.5,"2,539",19.08,0.76%
6.2.2025,9:59:07,W,"2,508.99","2,506.68",0.09%,"2,508.15",0.03%,632.7,"2,657",40.44,1.64%
4.2.2025,9:59:15,W,"2,449.01","2,466.24",0.70%,"2,475.91",1.10%,88.2,"1,723",30.58,1.26%
2.2.2025,9:59:09,W,"2,448.65","2,435.66",0.53%,"2,457.77",0.37%,99.4,"2,220",18.31,0.75%
30.1.2025,9:59:44,M,"2,473.23","2,453.97",0.78%,"2,448.65",0.99%,"1,532.80","4,510",12.96,0.53%
28.1.2025,9:59:28,W,"2,463.60","2,466.93",0.14%,"2,467.82",0.17%,141,"2,436",50.02,1.99%
26.1.2025,9:59:29,W,"2,517.69","2,516.95",0.03%,"2,520.70",0.12%,37.8,"1,242",22.52,0.89%
23.1.2025,9:59:20,W,"2,537.33","2,539.47",0.08%,"2,517.69",0.77%,70,"1,736",5.1,0.20%
21.1.2025,9:59:14,W,"2,551.77","2,544.57",0.28%,"2,551.90",0.01%,64.9,"1,672",10.11,0.40%
19.1.2025,9:59:03,W,"2,525.39","2,534.46",0.36%,"2,552.30",1.07%,74.1,"1,462",14.05,0.56%
16.1.2025,9:59:27,W,"2,514.97","2,520.41",0.22%,"2,525.39",0.41%,161.4,"3,215",47.62,1.93%
14.1.2025,9:59:47,W,"2,455.73","2,472.79",0.69%,"2,487.34",1.29%,176,"2,902",23.12,0.94%
12.1.2025,9:59:04,W,"2,450.23","2,449.67",0.02%,"2,458.76",0.35%,67.1,"1,563",0.24,0.01%
9.1.2025,9:59:02,W,"2,439.98","2,449.43",0.39%,"2,450.23",0.42%,100.5,"1,748",8.9,0.36%
7.1.2025,9:59:11,W,"2,456.44","2,458.33",0.08%,"2,458.11",0.07%,92.3,"1,939",42.04,1.74%
5.1.2025,9:59:56,W,"2,414.64","2,416.29",0.07%,"2,429.80",0.63%,76.9,"1,835",12.12,0.50%
2.1.2025,9:59:13,W,"2,400.64","2,404.17",0.15%,"2,414.64",0.58%,164.8,"2,057",33.32,1.41%
31.12.2024,9:59:10,W,"2,367.08","2,370.85",0.16%,"2,394.96",1.18%,88.9,"1,832",0.44,0.02%
29.12.2024,9:59:41,W,"2,379.76","2,371.29",0.36%,"2,373.99",0.24%,135.5,"2,211",6.3,0.26%
26.12.2024,9:59:06,M,"2,394.00","2,377.59",0.69%,"2,379.76",0.59%,"1,196.40","4,145",12.2,0.51%
24.12.2024,9:59:28,W,"2,388.18","2,389.79",0.07%,"2,402.75",0.61%,52.2,"2,108",22.05,0.93%
22.12.2024,9:59:04,W,"2,364.37","2,367.74",0.14%,"2,390.08",1.09%,39,"1,363",10.69,0.45%
19.12.2024,9:59:41,W,"2,383.74","2,357.05",1.12%,"2,364.37",0.81%,107.4,"3,037",25.02,1.07%
17.12.2024,9:59:49,W,"2,344.42","2,332.03",0.53%,"2,367.99",1.01%,58.4,"2,250",0,0.00%
15.12.2024,9:59:01,W,"2,335.46","2,332.03",0.15%,"2,316.96",0.79%,65,"1,764",1.24,0.05%
12.12.2024,9:59:49,W,"2,336.33","2,333.27",0.13%,"2,335.46",0.04%,65.5,"2,167",25.57,1.08%
